Year,Race,Ranking,College,Time
2025,A,1st,Hanszen,9:28:33
2025,A,2nd,Jones,9:43:49
2025,A,3rd,GSA,10:03:20
2025,A,4th,Wiess,10:20:58
2025,A,5th,Will Rice,10:51:39
2025,A,6th,Martel,10:54.5
2025,A,7th,McMurtry,11:02.3
2025,A,8th,Brown,11:44.7
2025,A,9th,Duncan,12:19:36
2025,A,10th,Baker,13:12.2
2025,A,11th,Lovett,15:38:02
2025,A,DNR,Sid Richardson,
2025,W1,1st,Wiess,14:37.4
2025,W1,2nd,McMurtry,14:44.7
2025,W1,3rd,Lovett,14:45.0
2025,W1,4th,Martel,15:00.7
2025,W1,5th,Baker,15:15.5
2025,W1,6th,GSA,15:42:02
2025,W2,1st,Hanszen,11:24:09
2025,W2,2nd,Will Rice,11:30.4
2025,W2,3rd,Duncan,11:40.5
2025,W2,4th,Jones,11:46.8
2025,W2,5th,Sid Richardson,11:51.6
2025,W2,6th,Brown,12:13.5
2025,M,1st,Will Rice,14:43.7
2025,M,2nd,Hanszen,14:43.9
2025,M,3rd,Martel,14:48.4
2025,M,4th,Jones,15:08.3
2025,M,5th,Duncan,15:18.8
2025,M,6th,Brown,15:23.6
2025,M,7th,Wiess,15:39.9
2025,M,8th,Sid Richardson,16:06.8
2025,M,9th,Lovett,16:28.60
2025,M,10th,GSA,16:31.3
2025,M,11th,McMurtry,17:07.85
2025,M,12th,Baker,17:08.3
2024,A,1st,GSA,
2024,A,2nd,Hanszen,
2024,A,3rd,Will Rice,
2024,A,4th,Jones,
2024,A,5th,Wiess,
2024,A,6th,Baker,
2024,A,7th,Sid Richardson,
2024,A,8th,Brown,
2024,A,9th,Lovett,
2024,A,10th,Duncan,
2024,A,DNR,Martel,
2024,A,DNR,McMurtry,
2024,W,1st,Jones,
2024,W,2nd,Brown,
2024,W,3rd,Sid Richardson,
2024,W,4th,Hanszen,
2024,W,5th,Will Rice,
2024,W,6th,Baker,
2024,W,7th,Martel,
2024,W,8th,GSA,
2024,W,9th,Duncan,
2024,W,10th,Wiess,
2024,W,11th,McMurtry,
2024,W,12th,Lovett,
2024,M,1st,Jones,
2024,M,2nd,Hanszen,
2024,M,3rd,Will Rice,
2024,M,4th,Martel,
2024,M,5th,Sid Richardson,
2024,M,6th,Wiess,
2024,M,7th,McMurtry,
2024,M,8th,Brown,
2024,M,9th,Duncan,
2024,M,10th,Baker,
2024,M,11th,Lovett,
2024,M,DQ,GSA,
2023,A,1st,Hanszen,13:12.1
2023,A,2nd,Jones,13:15.4
2023,A,3rd,GSA,13:55.4
2023,A,4th,Wiess,14:23.3
2023,A,5th,Brown,14:31.5
2023,A,6th,Will Rice,15:00.2
2023,A,7th,Duncan,16:31.7
2023,A,DNF,Lovett,
2023,A,DNF,McMurtry,
2023,A,10th,Sid Richardson,
2023,A,11th,Martel,
2023,A,DQ,Baker,
2023,W,1st,Hanszen,13:50.9
2023,W,2nd,Brown,13:56.8
2023,W,3rd,Jones,14:05.3
2023,W,4th,Sid Richardson,14:26.4
2023,W,5th,Duncan,14:28.9
2023,W,6th,Baker,14:44.4
2023,W,7th,GSA,14:59.0
2023,W,8th,Will Rice,15:03.4
2023,W,9th,Wiess,15:55.5
2023,W,10th,Martel,16:02.5
2023,W,11th,Lovett,16:29.1
2023,W,DNF,McMurtry,
2023,M,1st,Jones,18:33.2
2023,M,2nd,Hanszen,18:45.1
2023,M,3rd,Duncan,18:55.2
2023,M,4th,Sid Richardson,19:16.3
2023,M,5th,GSA,20:01.0
2023,M,6th,McMurtry,20:07.1
2023,M,7th,Wiess,20:09.5
2023,M,8th,Will Rice,20:40.1
2023,M,9th,Baker,21:14.2
2023,M,10th,Brown,21:49.4
2023,M,11th,Lovett,22:10.1
2023,M,12th,Martel,22:15.4
2022,W,1st,Hanszen,12:11.3
2022,W,2nd,Duncan,12:15.8
2022,W,3rd,Jones,12:18.7
2022,W,4th,GSA,12:29.1
2022,W,5th,Brown,12:37.5
2022,W,6th,McMurtry,12:39.3
2022,W,7th,Sid Richardson,12:51.8
2022,W,8th,Baker,13:06.3
2022,W,9th,Will Rice,13:08.0
2022,W,10th,Wiess,13:26.8
2022,W,11th,Martel,13:27.2
2022,W,12th,Lovett,15:54.9
2022,M,1st,Jones,18:33.6
2022,M,2nd,GSA,18:56.3
2022,M,3rd,Duncan,19:15.7
2022,M,4th,McMurtry,19:36.6
2022,M,5th,Hanszen,19:37.6
2022,M,6th,Will Rice,20:10.3
2022,M,7th,Baker,20:17.1
2022,M,8th,Sid Richardson,20:30.8
2022,M,9th,Brown,20:37.6
2022,M,10th,Martel,21:17.1
2022,M,11th,Wiess,21:22.4
2022,M,12th,Lovett,23:13.9
2021,W,1st,McMurtry,08:21.3
2021,W,2nd,Jones,09:00.0
2021,W,2nd,Hanszen,09:00.0
2021,W,3rd,Will Rice,09:13.0
2021,W,4th,Duncan,09:14.2
2021,W,5th,Brown,09:15.0
2021,W,6th,GSA,09:16.0
2021,W,7th,Lovett,09:23.5
2021,W,8th,Wiess,09:40.7
2021,W,9th,Baker,09:57.9
2021,W,10th,Martel,10:03.0
2021,W,11th,Sid Richardson,10:03.2
2021,M,1st,Jones,11:52.0
2021,M,1st,Hanszen,11:52.0
2021,M,2nd,Duncan,11:54.5
2021,M,3rd,GSA,12:02.7
2021,M,4th,McMurtry,12:02.9
2021,M,5th,Baker,12:41.4
