Year,Men's,Women's,Alumni
2025,Will Rice,Hanszen,Hanszen
2025,Dummy,Wiess,Dummy
2024,Jones,Jones,GSA
2023,Jones,Hanszen,Hanszen
2022,Jones,Hanszen,
2021,Jones,McMurtry,
2020,Cancelled - COVID,,
2019,McMurtry,GSA,GSA
2018,GSA,Jones,Jones
2017,Jones,Will Rice,Will Rice
2016,Martel,Martel,GSA
2015,Jones,Jones,Will Rice
2014,Will Rice,Jones,Will Rice
2013,Will Rice,Will Rice,Will Rice
2012,GSA,Will Rice,Will Rice
2011,Jones,Will Rice,Will Rice
2010,GSA,Will Rice,Will Rice
2009,Will Rice,Will Rice,Will Rice
2008,Will Rice,Will Rice,Brown
2007,Brown,Will Rice,Canceled due to rescheduling.
2006,Jones,Brown,Will Rice
2005,Jones,Brown,Race haulted due to injury.
2004,GSA,Will Rice,Will Rice
2003,Martel,Brown,Will Rice
2002,Brown,Jones,Will Rice
2001,Jones,Brown,Will Rice
2000,Will Rice,Brown,Will Rice
1999,Will Rice,Will Rice,Will Rice
1998,Will Rice,Brown,Will Rice
1997,Will Rice,Brown,Will Rice
1996,Jones,Brown,Will Rice
1995,Brown,Sid Richardson,Hanszen
1994,Brown,Brown,Hanszen
1993,Jones,Brown,Will Rice
1992,Jones,Brown,Hanszen
1991,Hanszen,Hanszen,Will Rice
1990,Will Rice,Jones,Will Rice
1989,Jones,Hanszen,Will Rice
1988,Jones,Will Rice,Will Rice
1987,Lovett,Will Rice,Will Rice
1986,Will Rice,Will Rice,Will Rice
1985,Lovett,Will Rice,Will Rice
1984,Lovett,Will Rice,Hanszen
1983,Will Rice,Will Rice,Will Rice
1982,Wiess,Brown,Wiess
1981,Sid Richardson,Hanszen,
1980,Will Rice,Jones,
1979,Will Rice,Jones,
1978,Sid Richardson,Jones,
1977,Will Rice,Baker,
1976,Baker,Baker,
1975,Wiess,Jones,
1974,Sid Richardson,Brown,
1973,Hanszen,Brown,
1972,Will Rice,Brown,
1971,Will Rice,,
1970,Will Rice,,
1969,Hanszen,,
1968,Hanszen,,
1967,Hanszen,,
1966,Will Rice,,
1965,Hanszen,,
1964,Hanszen,,
1963,Will Rice,,
1962,Will Rice,,
1961,Baker,,
1960,Will Rice,,
1959,Will Rice,,
1958,Wiess,,
1957,Baker,,
