team,win_prob,top3_prob,expected_rank
Hanszen,0.318,0.9166666666666666,1.709
Will Rice,0.25475,0.9166666666666666,2.015
Martel,0.1785,0.9166666666666666,2.422
Jones,0.1615,0.9166666666666666,2.613
Duncan,0.03525,0.9166666666666666,4.43525
Brown,0.03375,0.9166666666666666,4.6415
Wiess,0.01275,0.9166666666666666,5.35425
Sid Richardson,0.00475,0.9166666666666666,6.60725
GSA,0.0005,0.9166666666666666,8.041
Lovett,0.00025,0.9166666666666666,8.78225
McMurtry,0.0,0.9166666666666666,9.47625
Baker,0.0,0.9166666666666666,9.90325
